title,content
Free home internet connection,"Families in the UAE who have no home internet connection, can ask for free mobile internet package through Du and Etisalat to enable distance learning for their children. For more information about this free mobile internet package, contact on toll free number 80012."
"eLearning, mLearning and distance learning",Learn more about
Metaverse,"Emirates Health Services uses metaverse to provide medical care to patients, regardless of the doctor and the patient’s physical location. Users will be able to access the metaverse platform through a secure link using their personal device equipped with camera, microphone and speakers. In the virtual space, doctors can assess health conditions, discuss treatment plans, conduct therapies and counseling, and provide any other clinical service that does not require physical touch."
Doctor for every citizen,"In December 2019, Dubai Health Authority (DHA) had launched a smart service titled, ‘ Doctor for Every Citizen’ (PDF, 500 KB). Under this service, one can avail free consultation through voice and video calls, 24/7. The service covers initial consultation and follow-ups with DHA-certified physicians. The physician can request for laboratory and radiology tests and issue electronic prescriptions. When launched, this service was for Emiratis only. However, after the spread of COVID-19, this service was extended to all residents of the emirate of Dubai and consultations on matters related to COVID-19 were included. Get the ‘Doctor for Every Citizen’ service through the DHA app available on App Store and Google Play . For more information, contact 'Doctor for Every Citizen' on DHA’s toll-free hotline 800 342."
The DOH RemoteCare app,"The DOH RemoteCare app is a free digital healthcare solution through which people can receive healthcare at their own homes, without visiting a hospital or clinic physically. The app has a tool for examining symptoms, diagnosing non-emergency cases, booking appointments and getting tele-consultations with doctors via voice or video calls or text messages. In addition, the app enables users to obtain referrals from doctors and request prescriptions online and get medicines delivered to their homes. The app was launched by Department of Health – Abu Dhabi to cater to the medical needs of people with chronic diseases, the elderly and to those who have been infected with COVID-19 and are under home isolation."
Virtual Doctor for COVID-19,"Ministry of Health and Prevention (MoHaP) launched a chatbot service titled Virtual Doctor for COVID-19. People can use the service to assess whether their symptoms could be associated with the novel coronavirus, COVID-19. The chatbot in the Virtual Doctor service asks questions relating to the persons’ travel history, if they have come in contact with someone who has travelled and is sick and if they have come in contact with someone known to have COVID-19. It also asks if the person is suffering from specific symptoms and about his health habits. Depending on the person’s answers, the chatbot will deduce if he/she is at risk. It will connect him/her to a doctor through the same service. Read related news coverage on WAM ."
Book an appointment for the COVID-19 vaccine,"Vaccines against COVID-19 are available throughout the UAE, free of charge for medically eligible citizens and residents, according to the priority announced by the UAE’s health authorities from time to time. Book an appointment with any one of the authorities: 
1) Emirates Health Services ( EHS) through the COVID-19 EHS app available on Google Play and App Store 
2) SEHA through the SEHA app available on Google Play and App Store for vaccination at their drive-through centres and temporary sites across the UAE 
3) Dubai Health Authority through the DHA app available on App Store and Google Play or the call centre by calling on the toll-free number 800-342. 
 Vaccines will be administered to the following people on priority. They are eligible to walk into most vaccination centres and clinics without an appointment: 
1) UAE nationals and their domestic helpers 
2) senior citizens and residents (those who are 60 years old and above) 
3) people of determination 
4) people with chronic illnesses 
5) those working in the health and education centres. 
 What are the procedures to get the vaccine? What are the possible symptoms after vaccination? Watch this video on steps and priorities to take the vaccine . Find out more details in COVID-19 Vaccine Awareness Guide (PDF, 2.45 MB) which was released by DHA and from the website of Weqaya . For emergencies or any side effects from the vaccine, call MoHaP on 800-111-1. Note : For latest news and updates about COVID-19 vaccines, location and appointments, follow the health authorities on Twitter via the following handles: 
1) @mohapuae 
2) @DoHSocial 
3) @adphc_ae 
4) @DHA_Dubai 
5) @weqayauae 
6) @SHA_GOV . 
 Find more information about COVID-19 vaccines and boosters on the website of Emirates Health Services (EHS). Related links"
COVID-19 vaccine for children,"In November 2021, Ministry of Health and Prevention (MoHaP) approved the emergency local use of Pfizer vaccine for children between the ages of 5 and 11 following clinical trials and a strict assessment. In May 2021, Ministry of Health and Prevention (MoHaP) approved the emergency local use of Pfizer vaccine for children between the ages of 12 and15 following clinical trials and a strict assessment. As of May 2021, Dubai Health Authority (DHA) is administering Pfizer-BioNTech Covid-19 vaccine to the following groups on priority: 
1) children with chronic diseases 
2) those who live with vulnerable family members 
3) those living with members who cannot receive the vaccine due to medical reasons. 
 Children are exempt from taking the vaccine if they have any of the following conditions: 
1) experiencing an active COVID-19 infection 
2) needing a specialised treatment for COVID-19 
3) experienced severe allergic reaction to any vaccine or vaccine component within four hours of taking it. 
 In Abu Dhabi, you do not need an appointment for your children for the Pfizer vaccine. Department of Health - Abu Dhabi provides the Pfizer-BioNTech vaccine to children aged 12 years and above at all of Mubadala and SEHA vaccination centres ."
Exemption from COVID-19 vaccine,"Criteria for exemption from COVID-19 vaccine The following categories of people are exempt from COVID-19 vaccine according to Ministry of Health and Prevention (MoHaP) and Department of Health - Abu Dhabi (DoH): Read about exempted categories in Dubai in this COVID-19 Vaccine Awareness Guide (PDF, 5 MB). How to apply for COVID-19 vaccine exemption certificate In Abu Dhabi, you can apply for an exemption certificate by visiting a medical centre . The centre will submit a report to Department of Health - Abu Dhabi for approval. You will receive a text message on whether your application is approved. If approval is granted, it will be reflected on the Al Hosn app . In Dubai, contact the Dubai Health Authority (DHA) at toll free number 800342 to learn how to apply for vaccine exemption certificate. If you are a UAE citizen or resident from the emirates of Sharjah, Ajman, Umm Al Quwain or Ras Al Khaimah, and are eligible for exemption from the COVID-19 vaccine, you can apply for a COVID-19 vaccine exemption certificate to MoHaP."
Vaccination centres,View the list of EHS vaccination centres in the emirate of Abu Dhabi and the rest of the UAE. The vaccines are also available at several private hospitals across the UAE free of charge. View SEHA's vaccination centres.
Sinopharm’s COVID-19 vaccine,"On 9 December 2020, Ministry of Health and Prevention (MOHAP) announced that it had officially registered the ‘ Beijing Institute of Biological Products’ inactivated vaccine ’, known as the ‘Sinopharm' vaccine which was developed jointly with Sinopharm - CNBG ( China National Biotec Group ). A large multi-country Phase 3 trial has shown that 2 doses, administered at an interval of 21 days, have an efficacy of 79 per cent against symptomatic SARS-CoV-2 infection 14 or more days after the second dose. Vaccine efficacy against hospitalization was 79 per cent . Who can get the vaccine? Priority is given to citizens and residents above the age of 18, particularly, the elderly and those suffering from chronic diseases. Sinopharm vaccine requires two doses. The first dose is taken following an assessment of the patient’s health and the second dose is taken after a period averaging between 21 to 28 days. Where can I get the Sinopharm vaccine? Sinopharm vaccine is available throughout the UAE. Refer to the list of COVID-19 vaccination centres in: 
1) Urdu (PDF, 3.26 MB) 
2) Filipino (PDF, 2.05 MB) 
3) Mandarin (1.80 MB). 
 The vaccine is also available at SEHA's drive-through centres and the following locations: 
1) Abu Dhabi Cruise Terminal, Abu Dhabi City - from 7 am to 10 pm 
2) Al Ain Convention Center, Al Ain City - from 7 am to 10 pm 
3) Dubai Parks & Resort, Dubai - from 9 am to 5 pm 
4) Madinat Zayed Wedding Hall, Al Dhafra - from 8 am to 7:30 pm. 
 Find more information on SEHA’s website. View the list of DHA vaccination centres in Dubai . The vaccine is also available at several private hospitals across the UAE, free of charge. Earlier, in September 2020, the UAE authorised the emergency use of the Sinopharm vaccine for frontline workers, as they are the most at risk of getting COVID-19. The Sinopharm vaccine was used in the UAE’s ‘4Humanity’ campaign, which hosted the first global clinical Phase-III of an inactivated vaccine to combat COVID-19 back in July 2020. Contact MoHaP for queries and appointments."
Pfizer-BioNTech’s COVID-19 vaccine,"On 22 December 2020, MoHaP announced the emergency registration of Pfizer-BioNTech’s COVID-19 vaccine and on the next day, Dubai Health Authority (DHA) started its free vaccination drive against COVID-19 using this vaccine. Who is the vaccine for? The first phase of Dubai’s campaign targets the following: 
1) Emiratis and Dubai residents who are aged 60 years and above 
2) People who are 18 years and above, and suffer from chronic diseases 
3) People of determination 
4) Frontline workers. 
 Vaccination consists of two doses, taken separately. The gap between the two doses is 21 days. Where can I get the Pfizer-BioNTech’s vaccine ? Pfizer-BioNTech vaccine will be available at these healthcare centres across Dubai. The vaccine was first approved for emergency use by the US Food and Drug Administration on 11 December 2020 and later by World Health Organisation (WHO) on 31 December 2020. Find out more details in COVID-19 Vaccine Awareness Guide (PDF, 2.45 MB) which was released by DHA. Related links from Weqaya: 
1) Dubai’s COVID-19 vaccination campaign 
2) MOHAP allows COVID-19 vaccine for UAE citizens and residents . 
"
Sputnik V COVID-19 vaccine,"On 21 January 2021, Ministry of Health and Prevention (MoHAP) announced its approval of Russia’s Sputnik V COVID-19 vaccine for emergency use in the UAE. The vaccine is based on human adenoviral vector-based platform . As of April 2021, it's effectiveness against COVID-19 is 97.6 per cent, according to analysis of data from 3.8 million vaccinated people in Russia. The vaccine was registered under the emergency use authorisation based on Russia’s Phase III clinical trials on more than 33,000 participants. The UAE also participated in the vaccine’s phase III clinical trials with more than 1,000 volunteers who received the first dose under the supervision of MoHAP and Department of Health  - Abu Dhabi. Sputnik V COVID-19 Vaccine was developed by The Gamaleya National Centre of Epidemiology and Microbiology and Ministry of Health of the Russian Federation ."
Emergency use of COVID-19 vaccine approved for heroes in the first line of defence,"In September 2020, the UAE Government authorised the emergency use of the COVID-19 vaccine; making it available to heroes in the first line of defence. The decision aims to protect the heroes since they are at most risk due to the nature of their work. The use of the vaccine will be fully compatible with the regulations and laws that allow a faster review of licensing procedures. The evaluation of the vaccine for emergency use was based on: 
1) a declaration by the global health authorities of an emergency leading to a serious or life-threatening disease or condition 
2) the availability of scientific evidence that proves the effectiveness of the product intended for emergency response 
3) the safety of the use of the vaccine 
4) the evidence that the known and potential benefits of the product outweigh the known and potential risks. 
 The evaluation was carried out for emergency use, taking into account the following: 
1) the target groups 
2) product characteristics 
3) preclinical and clinical study data 
4) population study and all relevant available scientific evidence. 
 Read news coverage on WAM ."
National COVID-19 Crisis Recovery Management and Governance Committee,"The Supreme Committee for COVID-19 Crisis Management formed the National COVID-19 Crisis Recovery Management and Governance Committee in line with the UAE Government's plan and increased efforts to combat COVID-19. The new committee includes members from several ministries, departments and public companies. Some of them are: The Committee is mandated to 
1) ensure efficient recovery from the COVID-19 crisis by leveraging the resources required for business continuity 
2) develop proactive support programmes for various establishments by identifying their roles, responsibilities and key strategic and operational performance indicators with a view to ensuring a safe return to normalcy 
3) develop a strategic plan and identify key performance indicators for the post-COVID-19 phase for targeted sectors to gauge the performance of the entities concerned with returning to normalcy 
4) establish an electronic link for digital indicator-based statistics 
5) identify the financial and economic resources required for supporting the recovery phase. 
 Read news coverage on WAM ."
Tips to stay safe,Here are some videos from health authorities to protect yourself from COVID-19.
More resources to stay safe,"Read 
1) Protect yourself and others from the spread of COVID-19 - Weqaya 
2) Preventive measures against coronavirus - Weqaya 
3) Coronavirus Awareness Guidelines - (PDF, 500 KB) Ministry of Health and Prevention 
4) Cleaning and disinfecting your home - Weqaya 
5) A Guide for COVID-19 (available in seven languages) - (PDF, 350 KB) Department of Health - Abu Dhabi 
6) WHO’s recommendations . 
 Take help from the virtual assistant on COVID-19. Related links from Department of Health – Abu Dhabi ·  Educational guidelines for Institutions (PDF, 500 KB) ·  Guidance for environmental cleaning for workplace (PDF, 350 KB) ·  Instructions for hand and surfaces disinfectants (PDF, 300 KB) For queries and clarification, contact health authorities in the UAE: 
1) Ministry of Health and Prevention 
2) Department of Health - Abu Dhabi 
3) Dubai Health Authority (DHA) 
4) Sharjah Health Authority . 
 For latest news and updates, follow health authorities on Twitter via the following handles: 
1) @mohapuae 
2) @DoHSocial 
3) @adphc_ae 
4) @DHA_Dubai 
5) @weqayauae 
6) @SHA_GOV . 
 Follow World Health Organization on Twitter."
When and how to use masks,"Read the guidelines from WHO on how to wear masks safely. Please note that wearing masks alone will not protect you from COVID-19. The UAE Government prescribes wearing gloves, maintaining a distance of at least 2 metres from others and washing hands frequently for at least 20 seconds. (Click on the images for a larger view.) How to wear a non-medical fabric mask safely How to wear a medical mask safely"
Masks for children,Children under two years of age must not wear face masks. Those above two years of age may wear masks if they do not have a breathing difficulty or any chronic disease. Children must be able to remove the masks on their own when needed.
Exemptions from wearing masks in public,"During the COVID-19 pandemic, wearing masks in the UAE is mandatory for all in public places. However, on 31 May 2020, Dubai Government issued new guidelines under which certain people under certain situations would be exempted from wearing a mask even in public areas. Individuals who have been exempted from wearing a face mask The individuals have been exempted from wearing a face mask in public are: 
1) children under six years of age 
2) people of determination - those with cognitive, intellectual or sensory disorders or any impairments that prevent their ability to breathe or communicate, normally 
3) those for whom masks can lead to sensory triggering (a medical report is needed to confirm the condition) 
4) the individuals who require supplemental oxygen or have severe respiratory issues or have difficulty breathing with a mask (medical report is needed to confirm the condition). 
 Conditions under which masks can be removed Masks can be removed under the following situations: 
1) when driving alone, or with your family members 
2) while eating or drinking in indoor and outdoor settings, that is at restaurants 
3) when engaging in strenuous indoor and outdoor physical exercise 
4) while being alone in a certain setting, like your office and no one is around 
5) while undergoing specific treatments such as dental work, eyes, nose and throat examinations, and other treatments related to hair and beauty. 
 However, physical distancing must be observed at all times. Note: These guidelines are issued and apply in the emirate of Dubai. Please contact National Emergency Crisis and Disaster Management Authority (NCEMA) to confirm what applies in other emirates."
Testing for COVID-19,"RT-PCR tests are conducted at several government and private clinics and hospitals. Refer to the health authorities for the latest list of facilities where testing for COVID-19 can be done: 
1) Ministry of Health and Prevention (MoHaP) 
2) Emirates Health Services 
3) Department of Health-Abu Dhabi (DoH) 
4) Abu Dhabi Health Services Company (SEHA) 
5) Dubai Health Authority (DHA) 
6) Sharjah Health Authority . 
 You can do the DPI laser test and RT-PCR test at SEHA’s drive-through centres after booking an appointment through the SEHA app available on Google Play and App Store ). People of determination, whether citizens or residents, can get tested at home under the National Home Testing Programme for People of Determination . You can call on 8001717 to book an appointment for RT-PCR test for COVID-19."
Guidelines for mosques and prayers during Ramadan (1443 Hijri),"Following are the updated rules and guidelines for visiting mosques during the holy month of Ramadan (year 1443 of the Hijri calendar corresponding to April 2022 of the Gregorian calendar). Mosque protocols This Ramadan, several procedures that were stopped in mosques due to COVID-19 pandemic will be lifted. The latest rules include: 
1) expanding the capacity of the mosques to hold more worshippers 
2) opening women's prayer halls 
3) resuming daily lessons and religious lectures held by the President’s Guest Scholars in mosques 
4) allowing the distribution of bottled or canned drinking water 
5) restoring timings of all prayers and the interval between Adhan (a call to prayer) and prayers to pre-pandemic levels 
6) changing the alignment of worshippers to be in a straight, vertical shape instead of zigzag shape to facilitate easy entry and exit of worshippers 
7) facilitating the distribution of the copies of the Holy Book of Quran in mosques, and sterilising them after use. 
 Meanwhile, the following precautionary measures must be continued to be followed: 
1) wearing masks 
2) keeping a distance of one metre between worshippers 
3) using personal or single-use prayer mats. 
 Volunteers will be present in prayer halls to monitor the implementation of all precautionary measures. Rules regarding offering Isha, Taraweeh and ‘Qiyam-ul-layl’ prayers The following rules apply to offering Isha, Taraweeh and ‘Qiyam-ul-layl’ prayers: 
1) the time of Adhan to Isha prayers will be 20 minutes 
2) the maximum duration of both Isha, and Taraweeh and Witr prayers will be limited to 45 minutes 
3) the maximum duration of ‘Qiyam-ul-layl’/Tahajjud, (the night prayers during the last ten days of Ramadan) will be limited to 45 minutes. 
 Note: All above procedures will be monitored during the first week of Ramadan and would be modified, if necessary, based on the data relating to COVID-19. Tips for donations and charity 
1) Coordinate with official charitable organisations for donations for Iftar 
2) Use electronic means for donations and for Zakat payment. 
 Read also: 
1) UAE sets value of Zakat Al Fitr at AED25 - WAM 
2) Guidelines for setting up Iftar tents in Ramadan 1443 H  - this portal 
3) Guidelines to prevent the spread of COVID-19 at mosques and places of worship (PDF, 1.1 MB). 
 For more information, contact General Authority of Islamic Affairs & Endowments (GAIAE)."
Guidelines for setting up Iftar tents in Ramadan 1443 H,"Below are the protocols for entities organising Iftar tents in Ramadan 1443 H corresponding to April 2022 of the Gregorian calendar. The protocol includes the following: 
1) Entities would be required to obtain permits to set up Iftar tents from Emirates Red Crescent (ERC) prior to setting them up. Local committees and NCEMA teams in each emirate are authorised to approve the setting up of these tents, define the numbers of participants for each one and determine their locations in coordination with ERC. 
2) Iftar tents must be designed in the form of a canopy that is open from all sides or be air-conditioned in addition. 
3) All the required safety and protection systems against COVID-19 must be incorporated including avoiding handshakes during greetings. 
4) Tent capacity shall be determined by the local committees and teams of each emirate, with the participants to remain at least 1 metre apart., 
5) Security guards or volunteers must be provided to organise the entry and exit process. 
6) Awareness posters must be placed at all entrances and exits. 
7) Iftar tents should be opened two hours before the time of Iftar (Maghrib call to prayer), to avoid congestion. 
8) Only those with a Green Pass on their Al Hosn app will be allowed to enter the Iftar tents; this could be applied according to the rules in place in each emirate. 
9) Iftar tent organisers or personnel must provide masks and sterilisation tools to the participants and direct them to adhere to all precautionary and preventive measures against COVID-19 which includes wearing a mask, maintaining physical distance and sanitising hands. 
10) Organisers must use disposable table covers and disposable plates, cups and spoons for each individual. 
 These protocols were announced by National Emergency Crisis and Disaster Management Authority (NCEMA). NCEMA noted that all measures announced in these protocols are subject to modification based on the global and local health situation and called on the public to cooperate and adhere to them. in order to maintain the country’s pace of recovery from COVID-19. Read more in the news coverage on WAM ."
Safety protocols for social events,Ministry of Health and Prevention (MoHaP) and National Emergency Crisis and Disasters Management Authority (NCEMA) have announced a set of protocols for regulating social events and gatherings which are aimed at containing the spread of COVID-19. The rules for weddings and other family occasions The preventive measures at funerals and associated services Common preventive and precautionary measures for the above social occasions Read related news coverage on WAM .
Instruction manual: how to deal with someone who may have been exposed to someone who has or is suspected to have COVID-19,"Federal Authority for Government Human Resources (FAHR) has issued an instruction manual to federal authorities on ways of dealing with employees who may have had exposure to people who are either suspected or confirmed to have COVID-19. As per the manual, all federal entities are urged to provide all possible logistic support for protecting their employees, customers and other people and coordinate with relevant authorities to transport people with suspected or confirmed COVID-19 from their work premises to hospitals for testing. Entities should also identify those who got exposed to people suspected or confirmed to have COVID-19 and isolate them at their temporary quarantine facilities pending hospitalisation. In the meantime, federal employees have to adhere to all COVID-19 related precautionary and preventive measures, including reporting their travel to and return from abroad. They must also report if they came in contact with a confirmed or suspected case of COVID-19 and submit their COVID-19 test result before reporting to their workplaces. Read the news coverage on WAM . Read the instruction manual (PDF, 578 KB)."
Protocols for operating schools and other educational facilities amid COVID-19,Find out details on t he national protocol for operating educational establishments for the academic year 2022-2023 - NCEMA.
Guidelines for office and workplace environment during emergency conditions,"In preparation for the return of the employees of federal entities to their workplace, Federal Authority for Human Resources prepared a document of guidelines to aid the smooth return of employees and ensure that there is no further contamination or relapse of COVID-19. The guidelines aim to facilitate the functioning of entities while adhering to the highest standards of health, safety and environment. The specific aims of the guidelines are to: 
1) provide instructions to guarantee health and safety of employees at the workplace and on their commute 
2) apply the best practices in maintaining hygiene in public/shared spaces 
3) provide a work environment that complies with the highest standards of occupational safety and health 
4) provide psychological and mental support to employees and prepare them to return to workplaces 
5) guarantee the safety and continuity of business in federal government. 
 Some of the guidelines are: Read the guidelines for work environment and returning to work after emergencies (PDF 550 KB)."
More guidelines,"Business Continuity Readiness Guidelines for UAE Organizations in the event of the Novel Coronavirus (COVID-19) (PDF, 4 MB) Guidance for Environmental Cleaning for Workplaces that May be Exposed to COVID-19 (PDF, 0.8 MB) Educational Guidelines for Institutions to Deal with Novel Coronavirus (COVID-19) (PDF, 2.4 MB)"
"COVID-19 Information Centre: Your Health, Our Priority","Ministry of Health of Prevention launched an awareness section on their website. The section titled, ‘Your Health, Our Priority’ publishes information about COVID-19, its prevention and treatment. It also has a database of recommendations, precautions and guidelines from World Health Organisation (WHO). There are answers to frequently asked questions (FAQs) about COVID-19 in five languages: Arabic, Chinese, English, Farsi and Urdu. There is a link to interact with the ‘ Virtual Doctor ’, a chatbot that assesses the health condition of the enquirer based on the answers it receives. If the chatbot deduces that the enquirer may have COVID-19, it will connect him/her to a doctor through the same service. The awareness section does not deal with emergency cases. For emergencies, please contact the emergency helplines for COVID-19 ."
Weqaya – for information and consultation on COVID-19,"Weqaya provides latest news, official announcements and statements on the pandemic of COVID-19. It also contains videos that educate the public on healthy practices and preventive measures to take in light of the spread of COVID-19. You can also send in your queries and concerns relating to your health around COVID-19 and get answers from medical experts."
Abu Dhabi Department of Health online platform,"An official website to keep the public informed about the coronavirus outbreak has been launched by Department of Health - Abu Dhabi and Abu Dhabi Public Health Centre . The new platform includes interactive features, updates from official sources, and answers in English and Arabic to queries related to the coronavirus through an AI chatbot. Related links 
1) Coronavirus website launched in Abu Dhabi – WAM 
"
NCEMA COVID-19 Updates,National Emergency Crisis and Disaster Management Authority (NCEMA) is the federal entity responsible for the safety of the lives of all citizens and residents during a crisis in the UAE. Stay informed about the UAE’s current situation in view of COVID-19 . Find latest statistics and news about confirmed and recovered cases and the UAE’s measures to curb further spread.
The 'Rest assured' initiative,"The ‘Rest assured’ initiative is aimed to support people of determination, their parents and their staff by educating the community members about the comprehensive response to their demands for safety and well-being during the COVID-19 pandemic. The ‘Rest assured’ initiative consists of five core programmes with multiple objectives and methods to respond to the demands of the people of determination. The core programme one provides a home psychological aid kit to support people of determination during a crisis. It helps parents and family members detect if children are getting affected by the crisis and identify children who need therapeutic intervention either by parents or specialists. The core programme two includes a series of social stories that contain simple visual answers to many questions that address children's imaginations, which, if not clarified on time, may lead to distorted and inaccurate concepts of the pandemic. The core programme three involves a training programme for staff who are working with the people of determination to detect their behaviour and direct their parents to get right advice. It also aims to raise the level of psychological resilience of parents. Additionally, the ministry has prepared a home-schooling guide for students with intellectual disabilities and autism. The core programme five involves disseminating awareness-related information such as methods of sterilising things according to each individual’s disability. Information is available in sign language for those who face hearing issues, through instant text translation and voice description for those with visual impairment and through social stories for those with intellectual disabilities and autism. Read news coverage on WAM ."
The Kheta platform,The Kheta platform is expected to facilitate educational and rehabilitation services to the people of determination with an aim to improve the quality of such services as per the pillars of the National Policy for Empowering People of Determination. The platform will be implemented around the start of the academic year 2020-21. Read news coverage on WAM .
Precautionary measures for people of determination,"Ministry of Community Development has set a series of additional precautionary measures to deal with people of determination in light of the spread of the COVID-19 pandemic, to help parents and caregivers of this group to overcome the challenges surrounding them, and to support them morally to continue their daily life in safety and security. Through the Welfare and Rehabilitation Department for People of Determination, the ministry issued a series of procedural instructions and steps that allow parents to help their children with intellectual disabilities cope with the reality of staying at home. The instructions include: A set of 7 strategies has also been developed to support people with autism specifically during their time in home quarantine. They are: Read news coverage on WAM ."
National Home Testing Programme for People of Determination,"The UAE launched the National Home Testing Programme for People of Determination, for citizens and residents, to ensure all segments of the community have adequate access to testing facilities. The home testing programme is for people of determination who are unable to reach testing centres easily. It is especially for those who are unable to move normally or who have difficulty communicating with others. Specialised teams from authorities concerned will implement the programme according to the standards of World Health Organisation. They will also provide health and preventive advice to all who need it. The new programme supports and complements the efforts of the drive-through testing facility for COVID-19 and other accredited testing centres nationwide. Families of the people of determination may call 8001717 to book a test appointment for COVID-19. Read related news coverage on WAM ."
‘Dubai Assured’ stamp,"The ‘Dubai Assured’ stamp is a part of the health and safety compliance programme. The stamp is issued to hotels, retail establishments, F&B outlets and entertainment attractions that have implemented all public health protocols for the prevention and management of COVID-19. The programme is part of the efforts to showcase Dubai as one of the world’s safest destinations as it has started to receive tourists. The specially designed ‘Dubai Assured’ stamp, which is issued free of charge, has a validity of 15 days. It can be renewed every two weeks upon further verification by inspectors from the relevant authorities. Image source: Dubai Tourism The stamp is a visual mark which can reassure guests that safety and hygiene measures prescribed by the authorities have been complied with across all tiers and categories of tourist and resident facilities such as hotels, attractions, retail, food and beverage outlets, and leisure and entertainment destinations. The establishments can feature this stamp in their marketing communications. Read news coverage on WAM . Learn more and read FAQs on the website of Dubai Tourism ."
'Go Safe' certification programme,"The Go Safe Certification is a programme launched by Department of Culture and Tourism – Abu Dhabi, and endorsed by Abu Dhabi Government, which is aimed at elevating and standardising hygiene and cleanliness levels across tourism and retail establishments in the emirate. The Certification will first be conferred to compliant hotels that meet the required hygiene and standards. As Abu Dhabi moves forward in reviving touristic activity and receiving more and more visitors, the Certification will be expanded to include other facilities such as malls, museums, amusement parks and restaurants.  The launch of the Go Safe Certification goes hand in hand with the commitment and efforts of the Abu Dhabi Government to combat the spread of COVID-19, which include widespread testing, city-wide sanitation, social distancing, and enhanced healthcare services. Read related news coverage on WAM . Read more about ""Go Safe"" programme on the website of Abu Dhabi Department of Culture and Tourism ."
BV Certification,"Ajman hotels received the Bureau Veritas (BV) certification for adopting the highest safety guidelines to protect guests, visitors, and hospitality employees in Ajman amid COVID-19."
Mandatory Covid-19 tests for all tourism sector staff,"In line with the 'Go Safe' certification programme spearheaded by the Department of Culture and Tourism – Abu Dhabi, regular COVID-19 testing for all tourism sector staff has been made mandatory. The effort is part of DCT Abu Dhabi’s extensive and ongoing efforts to ensure the health and safety of its residents and visitors and follows the recent launch of the ‘ Rediscover Abu Dhabi’ campaign aimed at engaging with the myriad staycation and touristic offers made available to visitors within the UAE capital. Read related news coverage on WAM ."
Frontline Heroes Office,"The late H. H. Sheikh Khalifa bin Zayed Al Nahyan, the then President of the UAE  issued Federal Decree No. 95 of 2020 establishing the Frontline Heroes Office . The new entity will be chaired by H. H. Sheikh Mohamed bin Zayed Al Nahyan, the then Crown Prince of Abu Dhabi and Deputy Supreme Commander of the UAE Armed Forces, and will recognise and support the UAE’s frontline workers in the long term. The Frontline Heroes Office aims at: 
1) raising awareness of the key role played by the frontline workers during crises and emergencies 
2) recognising their efforts and acknowledging their sacrifices 
3) looking after their needs and addressing their priorities. 
 Frontline heroes include those working on the frontline in healthcare facilities, as well as in the prevention and protection. It includes h ealthcare facility staff such as: 
1) doctors 
2) nurses 
3) allied healthcare professionals (laboratory technicians, respiratory therapists, radiographers) 
4) housekeeping, cleaning, waste disposal 
5) other staff (porters, security, catering, administrative, pharmacists). 
 It also includes staff in the prevention and protection such as: 
1) crisis management on the frontline 
2) security and emergency services on the frontline 
3) humanitarian entities on the frontline 
4) sterilisation on the frontline. 
 
1) defining the frontline workers and establishing the criteria used to identify them 
2) preparing and implementing strategies and initiatives to support them, in collaboration with relevant authorities 
3) instructing relevant entities to build a database of the frontline workers by establishing an online registry interlinking the relevant federal, local or private bodies 
4) running events, granting rewards, presenting appreciation certificates, and nominating any of the frontline workers to receive honorary medals. 
 Read the news coverage on WAM ."
‘Hayyakum’- Free scholarships for children of frontline heroes,"Under the ‘Hayyakum’ initiative, children of frontline healthcare professionals will receive scholarships to attend public schools in the UAE. Scholarship will be provided from the academic year 2020-21 until graduation from high school. It covers the cost of tuition, laptop and transportation. ‘Hayyakum’ aims to provide the children of frontline healthcare professionals high-quality education while alleviating the financial stress faced by their parents and encouraging them to stay for a longer term in the UAE. This initiative is part of a wider collaborative framework between Ministry of Education and the Frontline Heroes Office to ensure sustainable funding for the scholarship and also launch and implement other education-focused initiatives to benefit children of frontline healthcare professionals. Read related news coverage on WAM ."
Higher Education Scholarship Programme for frontline heroes and their children,"The Higher Education Scholarship Programme will fund education for eligible frontline heroes and their children at government and private universities and colleges across the UAE. Scholarships will be awarded the academic year 2021-2022. How to apply? You can submit your scholarship request to Frontline Heroes Office by sending an email . Attach your request with supporting documents and the acceptance letter from the university or college. will gather eligible scholarship requests and send to the relevant university or college directly. The programme was announced by Frontline Heroes Office. It will be supported by Sandooq Al Watan , a social initiative by a group of Emirati businessmen, the private sector and Ministry of Education . It aims to fulfil the goals of higher education of frontline workers and their children and reduce their financial burden during the pandemic of COVID-19. Read related news coverage on WAM ."
What is quarantine?,"Quarantine is a precautionary measure taken to stop the spread of a contagious disease. It involves restricting the movement of healthy people who may have been exposed to a communicable disease. People would be confined t o a house or a hotel and be away from others for a certain period of time, usually 14 days in the case of COVID-19, in order to ensure that they are free of the disease."
What is the difference between isolation and quarantine?,"Isolation is the separation of ill persons who have a communicable disease from those who are healthy, so that they do not infect others."
Quarantine in times of COVID-19,"As of 25 March 2022, quarantine is not required for those who came in close contact with a positive case of COVID-19. However, they must undergo an RT-PCR test on day one and seven , or when the contact starts showing symptoms of COVID-19. However, each emirate has the flexibility to determine the duration of the quarantine period and the number and the duration within which RT-PCR tests need to be done. Read about the other reduced precautionary measures in the emirate of Abu Dhabi . All are required to download the Al Hosn app ."
